Nodes;250_0.1;280_0.1;high risk 250_0.1;high risk 280_0.1
0;400.0;400.0;400.0;400.0
1;392.86562531354997;390.44867224511296;385.32752882515473;382.33920403910088
2;392.86562531354997;390.44867224511296;385.32752882515473;382.33920403910088
3;389.12580795051662;382.47971530716671;374.94536698060176;368.81361073055501
4;389.12580795051662;382.47971530716671;374.94536698060176;368.81361073055501
5;415.51049907805083;410.56173255690766;394.29157611431441;385.00329903863019
6;415.51049907805083;410.56173255690766;394.29157611431441;385.00329903863019
7;373.81803395794475;362.26264591161129;351.63966126220384;342.86191920714793
8;373.81803395794475;362.26264591161129;351.63966126220384;342.86191920714793
9;388.44511725860787;381.29600006298716;375.46375823057309;367.40758635613366
10;388.44511725860787;381.29600006298716;375.46375823057309;367.40758635613366
11;406.96913098154272;398.31738937976991;387.13112372894545;374.4190484876645
12;406.96913098154272;398.31738937976991;387.13112372894545;374.4190484876645
13;486.70737894914924;489.42644781717144;418.38558101018242;403.07093669676686
14;486.70737894914924;489.42644781717144;418.38558101018242;403.07093669676686
15;297.69255203996488;323.34537875858905;296.41694817655264;313.48061107460143
16;297.69255203996488;323.34537875858905;296.41694817655264;313.48061107460143
17;305.60860129976265;333.95340993089076;303.52845795329796;331.00793698561392
18;305.60860129976265;333.95340993089076;303.52845795329796;331.00793698561392
19;306.00380591796011;333.34531588894316;304.72275880635044;330.43391777638817
20;306.00380591796011;333.34531588894316;304.72275880635044;330.43391777638817
21;342.808638242303;351.98750294509296;338.32291006696067;346.29136837471617
22;342.808638242303;351.98750294509296;338.32291006696067;346.29136837471617
23;304.20502316712299;331.11070827129032;303.29821349583852;329.26591283816362
24;304.20502316712299;331.11070827129032;303.29821349583852;329.26591283816362
25;404.87903246829757;379.54171618627282;382.49962322746262;343.74980756705713
26;404.87903246829757;379.54171618627282;382.49962322746262;343.74980756705713
27;552.19511980446362;611.74019044451006;420.97353556271645;402.36666353294891
28;552.19511980446362;611.74019044451006;420.97353556271645;402.36666353294891
29;677.5626077213708;682.32971724992115;567.03527176040484;563.76300902526259
30;677.5626077213708;682.32971724992115;567.03527176040484;563.76300902526259
31;297.21013748957472;312.52093996785959;297.37519576849013;311.99462694062169
32;297.21013748957472;312.52093996785959;297.37519576849013;311.99462694062169
33;302.16407021730322;324.92145392873408;303.2803105712922;323.95929099728136
34;302.16407021730322;324.92145392873408;303.2803105712922;323.95929099728136
35;300.80463211006781;324.73818123211282;301.73400848467207;324.25760250688012
36;300.80463211006781;324.73818123211282;301.73400848467207;324.25760250688012
37;306.01688430262288;332.03279914476605;307.49941804278137;332.30113396404533
38;306.01688430262288;332.03279914476605;307.49941804278137;332.30113396404533
39;300.00864285573999;323.98998728896271;300.28388851626522;323.27791107231548
40;300.00864285573999;323.98998728896271;300.28388851626522;323.27791107231548
41;305.08374071130504;331.13027484312437;305.70937895978324;331.10622079507408
42;305.08374071130504;331.13027484312437;305.70937895978324;331.10622079507408
43;299.91625034780162;330.39633061181894;299.36127857480454;330.41828390528019
44;299.91625034780162;330.39633061181894;299.36127857480454;330.41828390528019
45;313.34653957430402;340.23735132041486;356.2427035853907;334.19344213366196
46;313.34653957430402;340.23735132041486;356.2427035853907;334.19344213366196
47;299.00451820302982;322.68976793331268;299.65254403790686;322.66257226447573
48;299.00451820302982;322.68976793331268;299.65254403790686;322.66257226447573
49;303.92094038760172;329.68196058476855;304.9297102056052;330.09332241911369
50;303.92094038760172;329.68196058476855;304.9297102056052;330.09332241911369
51;295.92752843570275;327.22647738822297;295.58143864449892;329.32932534437106
52;295.92752843570275;327.22647738822297;295.58143864449892;329.32932534437106
53;301.57413458587007;335.09943727431573;300.47608427136936;339.77930311091825
54;301.57413458587007;335.09943727431573;300.47608427136936;339.77930311091825
55;396.51636628422546;364.45517401131286;292.17735994107932;323.3960830503122
56;396.51636628422546;364.45517401131286;292.17735994107932;323.3960830503122
57;543.1164749068239;643.06322649353729;294.4435964269444;334.14652682159374
58;543.1164749068239;643.06322649353729;294.4435964269444;334.14652682159374
59;701.3781748755539;713.51324051191273;549.17913836861453;459.23607932437181
60;701.3781748755539;713.51324051191273;549.17913836861453;459.23607932437181
61;839.72656727020706;844.3179038439805;607.87955278149491;616.59343382329178
62;839.72656727020706;844.3179038439805;607.87955278149491;616.59343382329178
63;306.84130485145897;330.1394049302765;307.65638270682479;331.7068094850045
64;310.97132500656107;335.94294439031222;311.82842187417731;338.26040297457729
65;310.33407870480102;336.98435828936277;311.04691911052248;338.99125857869888
66;313.89791297274058;342.58082003191663;314.45951208548348;344.56060855403808
67;310.00014056821971;336.33505066765071;310.79853112630065;337.32887882068013
68;313.62870664106703;341.82695218785261;314.29925011747747;343.0978240653962
69;312.81228695026169;341.91008645892742;313.32414619267843;342.98214798522127
70;315.69473709228259;348.85893946730363;315.71622451675;350.04779483523606
71;309.74455864226411;335.7492783786156;310.28048852459347;336.63331679283726
72;313.4205161442776;341.20418632206218;313.8838426977722;342.42146890409549
73;312.62483647706898;341.25595242758425;313.02507508114149;342.24571694659079
74;315.71602066091043;348.10331876553971;315.73132351935669;349.17304204564067
75;310.96685299681837;340.27140051116902;311.48666050343775;340.19429113781075
76;314.94869773483032;346.90292878494915;315.21926995633248;350.64953433357891
77;304.12051228721776;346.76738559007856;308.56577498613717;345.28779960173244
78;318.68057356508314;356.97528425774635;326.56307613106986;356.34923579374151
79;309.2490028963166;334.8185378656836;310.02442373443074;336.30480437797866
80;312.9677980832123;340.08819881323916;313.70480139606639;341.83480515322242
81;312.238218586377;340.20655862620885;312.85405930783242;341.73949802013158
82;315.58733761639718;346.88102094829395;315.76215400914197;349.06415762420943
83;307.24814181448988;337.4243832153544;307.72650672732112;340.73592969953597
84;311.56407885612833;343.29915505071352;313.82581638842805;347.28234812619104
85;310.14680275791761;343.12361998496914;309.84513493803075;347.82205131997449
86;314.51630200698639;352.42477919023389;319.35773754431261;359.58352122376829
87;307.59191088180285;345.93952354747609;306.43074329844586;334.84943120232288
88;310.43330978877549;348.3009076553177;310.3886649700226;341.32457907672529
89;321.65876904913796;362.68853639754525;305.8389212094574;321.57885227710636
90;331.27851777385735;431.4330923930645;310.00911354307385;324.45942335868841
91;333.63855289418888;371.15299048029465;322.70798040521532;346.44839142419778
92;701.62222318700049;765.58921740039284;336.18292570975831;327.13941822353252
93;750.47979228473571;761.97910279193331;476.07890363991385;465.94197793829835
94;1168.2687146945725;1193.0577479359556;526.7982423388878;879.5602065047342
